subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,1.014060,"Tích hợp, cập nhật, điều chỉnh thông tin trên thẻ căn cước","Cấp, quản lý căn cước",cap_nhat_tich_hop_can_cuoc,tich_hop_cap_nhat_dieu_chinh_thong_tin_tren_the_can_cuoc,Công an cấp Xã,Trực tiếp | Trực tuyến,7 ngày làm việc | 7 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9e09-7323-9cbf-c3e26f69e0c1
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,1.014061,Cấp thẻ căn cước cho người từ đủ 14 tuổi trở lên,"Cấp, quản lý căn cước",cap_the_can_cuoc_tu_14_tuoi,cap_the_can_cuoc_cho_nguoi_tu_du_14_tuoi_tro_len,Công an cấp Xã,Trực tiếp | Trực tuyến,7 ngày làm việc | 7 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9e11-77ef-bf03-ae190acb0be3
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,1.014062,Cấp thẻ căn cước cho người dưới 14 tuổi,"Cấp, quản lý căn cước",cap_the_can_cuoc_duoi_14,cap_the_can_cuoc_cho_nguoi_duoi_14_tuoi,Công an cấp Xã,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,7 ngày làm việc | 7 ngày làm việc | 7 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9e16-74eb-bb7b-a492aadf15a0
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,1.014063,Cấp đổi thẻ căn cước,"Cấp, quản lý căn cước",cap_doi_the_can_cuoc,cap_doi_the_can_cuoc,Công an cấp Xã,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,7 ngày làm việc | 7 ngày làm việc | 7 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9e0f-730b-9510-60349ebab5b2
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,1.014064,Cấp lại thẻ căn cước,"Cấp, quản lý căn cước",cap_lai_the_can_cuoc,cap_lai_the_can_cuoc,Công an cấp Xã,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,7 ngày làm việc | 7 ngày làm việc | 7 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9e0b-7681-bd68-83f1e84c1cc7
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,1.014067,Cấp đổi giấy chứng nhận căn cước,"Cấp, quản lý căn cước",cap_doi_giay_chung_nhan_can_cuoc,cap_doi_giay_chung_nhan_can_cuoc,Công an cấp Xã,Trực tiếp,7 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9e0c-71f6-a76a-8f99b1cfea5a
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,1.014068,Cấp lại giấy chứng nhận căn cước,"Cấp, quản lý căn cước",cap_lai_giay_chung_nhan_can_cuoc,cap_lai_giay_chung_nhan_can_cuoc,Công an cấp Xã,Trực tiếp,7 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9e14-75fa-82e9-ae8a6d3149cb
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,3.000228,"Cấp tài khoản định danh điện tử mức độ 02, căn cước điện tử cho công dân Việt Nam (cấp xã)",Định danh và xác thực điện tử,cap_tai_khoan_dinh_danh_muc_2,cap_tai_khoan_dinh_danh_dien_tu_muc_do_02_can_cuoc_dien_tu_cho_cong_dan_viet_nam_cap_xa,Công an cấp Xã,Trực tiếp | Trực tiếp,3 ngày làm việc | 7 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-b5a6-76fd-a4b1-49c93d86d9d6
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,3.000271,Khóa căn cước điện tử (thực hiện tại cấp trung ương),Định danh và xác thực điện tử,khoa_can_cuoc_dien_tu,khoa_can_cuoc_dien_tu_thuc_hien_tai_cap_trung_uong,,Trực tuyến,1 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-b5ea-746b-a7b8-3b91f3bcd96a
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,3.000272,Mở khóa căn cước điện tử (thực hiện tại cấp trung ương),Định danh và xác thực điện tử,khoa_can_cuoc_dien_tu,mo_khoa_can_cuoc_dien_tu_thuc_hien_tai_cap_trung_uong,,Trực tuyến,1 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-b5d4-75ed-a3db-11a8bd08eb4f
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,3.000276,Khóa căn cước điện tử (thực hiện tại cấp tỉnh),Định danh và xác thực điện tử,khoa_can_cuoc_dien_tu,khoa_can_cuoc_dien_tu_thuc_hien_tai_cap_tinh,Phòng cảnh sát quản lý hành chính về trật tự xã hội,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bd5a-738e-93a8-40faa4cc541e
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,3.000277,Mở khóa căn cước điện tử (thực hiện tại cấp tỉnh),Định danh và xác thực điện tử,khoa_can_cuoc_dien_tu,mo_khoa_can_cuoc_dien_tu_thuc_hien_tai_cap_tinh,Phòng cảnh sát quản lý hành chính về trật tự xã hội,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bd5d-7695-b50d-b06b3b7a3c6e
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,3.000285,Khóa căn cước điện tử (thực hiện tại cấp xã),Định danh và xác thực điện tử,khoa_can_cuoc_dien_tu,khoa_can_cuoc_dien_tu_thuc_hien_tai_cap_xa,Công an cấp Xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bd6c-72eb-98eb-cdb436f645a9
can_cuoc_chung_minh_nhan_dan,Căn cước công dân/Chứng minh nhân dân,3.000286,Mở khóa căn cước điện tử (thực hiện tại cấp xã),Định danh và xác thực điện tử,khoa_can_cuoc_dien_tu,mo_khoa_can_cuoc_dien_tu_thuc_hien_tai_cap_xa,Công an cấp Xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bd65-767f-9dfe-e06cdd1502a8
